Attrition,Age,MonthlyIncome,DistanceFromHome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,NumCompaniesWorked,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,StockOptionLevel,JobRole,OverTime,BusinessTravel,Department,MaritalStatus,EducationField
Yes,41,5993,1,8,6,4,5,0,8,2,3,4,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Single,Life Sciences
No,49,5130,8,10,10,7,7,1,1,2,2,2,4,1,Research Scientist,No,Travel_Frequently,Research & Development,Married,Life Sciences
Yes,37,2090,2,7,0,0,0,0,6,1,2,3,3,0,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Single,Other
No,33,2909,3,8,8,7,0,3,1,1,3,3,3,0,Research Scientist,Yes,Travel_Frequently,Research & Development,Married,Life Sciences
No,27,3468,2,6,2,2,2,2,9,1,3,2,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Medical
No,32,3068,2,8,7,7,6,3,0,1,3,4,3,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Life Sciences
No,59,2670,3,12,1,0,0,0,4,1,4,1,4,3,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Medical
No,30,2693,24,1,1,0,0,0,1,1,3,3,4,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,38,9526,23,10,9,7,8,1,0,3,2,3,4,0,Manufacturing Director,No,Travel_Frequently,Research & Development,Single,Life Sciences
No,36,5237,27,17,7,7,7,7,6,2,3,3,3,2,Healthcare Representative,No,Travel_Rarely,Research & Development,Married,Medical
No,35,2426,16,6,5,4,3,0,0,1,4,2,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Medical
No,29,4193,15,10,9,5,8,0,0,2,2,3,3,0,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,31,2911,26,5,5,2,3,4,1,1,3,3,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,34,2661,19,3,2,2,2,1,0,1,3,4,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Medical
Yes,28,2028,24,6,4,2,3,0,5,1,2,3,3,0,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,29,9980,21,10,10,9,8,8,1,3,4,1,3,1,Manufacturing Director,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,32,3298,5,7,6,2,5,0,0,1,4,2,3,2,Research Scientist,Yes,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,22,2935,16,1,1,0,0,0,1,1,4,4,3,2,Laboratory Technician,Yes,Non-Travel,Research & Development,Divorced,Medical
No,53,15427,2,31,25,8,7,3,2,4,2,4,3,0,Manager,No,Travel_Rarely,Sales,Married,Life Sciences
No,38,3944,2,6,3,2,2,1,5,1,3,4,3,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,24,4011,11,5,4,2,3,1,0,2,4,3,3,1,Manufacturing Director,No,Non-Travel,Research & Development,Divorced,Other
Yes,36,3407,9,10,5,3,3,0,7,1,2,1,4,0,Sales Representative,No,Travel_Rarely,Sales,Single,Life Sciences
