Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Log_MonthlyIncome
41,1,1102,1,2,2,94,3,2,4,19479,8,11,3,1,0,8,0,1,6,4,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8.69851424787661
49,0,279,8,1,3,61,2,2,2,24907,1,23,4,4,1,10,3,3,10,7,1,7,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8.543055850941965
37,1,1373,2,2,4,92,2,1,3,2396,6,15,3,2,0,7,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,7.645397699428633
33,0,1392,3,4,4,56,3,1,3,23159,1,11,3,3,0,8,3,3,8,7,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,7.975908360165538
27,0,591,2,1,1,40,3,1,2,16632,9,12,3,4,1,6,3,3,2,2,2,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,8.15162164696975
32,0,1005,2,2,4,79,3,1,4,11864,0,13,3,3,0,8,2,2,7,7,3,6,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8.029107054619736
59,0,1324,3,3,3,81,4,1,1,9964,4,20,4,1,3,12,3,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,7.890208213109961
30,0,1358,24,1,4,67,3,1,3,13335,1,22,4,2,1,1,2,3,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.898782356970309
38,0,216,23,3,4,44,2,3,3,8787,0,21,4,2,0,10,2,3,9,7,1,8,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,9.161885151706779
36,0,1299,27,3,3,94,3,2,3,16577,6,13,3,2,2,17,3,2,7,7,7,7,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.563695025067657
35,0,809,16,3,1,84,4,1,2,16479,0,13,3,3,1,6,5,3,5,4,0,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7.794411205726601
29,0,153,15,2,4,49,2,2,3,12682,0,12,3,4,0,10,3,3,9,5,0,8,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,8.341410211461865
31,0,670,26,1,1,31,3,1,3,15170,1,17,3,4,1,5,1,2,5,2,4,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.976595409316577
34,0,1346,19,2,2,93,3,1,4,8758,0,11,3,3,1,3,2,3,2,2,1,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.8868329989550565
28,1,103,24,3,3,50,2,1,3,12947,5,14,3,2,0,6,4,3,4,2,0,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,7.615298339825815
29,0,1389,21,4,2,51,4,3,1,10195,1,11,3,3,1,10,1,3,10,9,8,8,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.208438564686587
32,0,334,5,2,1,80,4,1,2,15053,0,12,3,4,2,7,5,2,6,2,0,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8.101374671228582
22,0,1123,16,2,4,96,4,1,4,7324,1,13,3,2,2,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7.984803389734406
53,0,1219,2,4,1,78,2,4,4,22021,2,16,3,3,0,31,3,3,25,8,3,7,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9.643939319328119
38,0,371,2,3,4,45,3,1,4,4306,5,11,3,3,0,6,3,3,3,2,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,8.280204233279974
24,0,673,11,2,1,96,4,2,3,8232,0,18,3,4,1,5,5,2,4,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.297045149081827
36,1,1218,9,4,3,82,2,1,1,6986,7,23,4,2,0,10,4,3,5,3,0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8.133880887949207
34,0,419,7,4,1,53,3,3,2,21293,0,11,3,3,0,13,4,3,12,6,2,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.392245175273795
21,0,391,15,2,3,96,3,1,4,19281,1,14,3,4,0,0,6,3,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7.117205503164344
34,1,699,6,1,2,83,3,1,1,17102,2,11,3,3,0,8,2,3,4,2,1,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7.993282328101591
53,0,1282,5,3,3,58,3,5,3,10735,4,11,3,4,1,26,3,2,14,13,4,8,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.857181799659617
32,1,1125,16,1,2,72,1,1,1,4681,1,22,4,2,0,10,5,3,10,2,6,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8.273846932784508
42,0,691,8,4,3,48,3,2,2,21173,0,11,3,4,1,10,2,3,9,7,4,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8.828494129466652
44,0,477,7,4,1,42,2,3,4,2094,3,14,3,4,1,24,4,3,22,6,5,17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.234935418831563
46,0,705,2,4,2,83,3,5,1,22822,3,12,3,4,0,22,2,2,2,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9.849453664043642
33,0,924,2,3,3,78,3,1,4,6670,4,11,3,4,0,7,3,3,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,7.822845290279774
44,0,1459,10,4,4,41,3,2,4,19121,2,13,3,4,0,9,5,4,4,2,1,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,8.774312958285378
30,0,125,9,2,4,83,2,1,3,16117,1,13,3,1,0,10,5,3,10,0,1,8,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,7.699389406256737
39,1,895,5,3,4,56,3,2,4,3335,3,14,3,3,1,19,6,4,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,7.643482907077201
24,1,813,1,3,2,61,3,1,4,3020,2,16,3,1,1,6,2,2,2,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,7.738052297689316
43,0,1273,2,2,4,72,4,1,3,21923,1,12,3,4,2,6,3,2,5,3,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.880804344674901
50,1,869,3,2,1,86,2,1,3,3810,1,14,3,3,0,3,2,3,3,2,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,7.895063498091573
35,0,890,2,3,4,97,3,1,4,9687,1,13,3,1,0,2,3,3,2,2,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.608374474380783
36,0,852,5,4,2,82,2,1,1,13072,9,14,3,4,1,6,3,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,8.13739583005665
33,0,1141,1,3,3,42,4,2,1,3193,2,19,3,1,2,10,3,3,5,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.589885876809678
35,0,464,4,2,3,75,3,1,4,10910,1,12,3,3,1,1,3,3,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7.5766097669730375
27,0,1240,2,4,4,33,3,1,1,19715,1,13,3,4,1,1,6,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.758760544157663
26,1,1357,25,3,1,48,1,1,3,10558,1,12,3,3,0,1,2,2,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,7.738052297689316
27,0,994,8,3,4,37,3,3,3,2975,1,15,3,4,0,9,0,3,9,8,1,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9.074176947163311
30,0,721,1,2,3,58,3,2,4,10781,1,23,4,4,0,12,2,3,12,8,3,7,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.297045149081827
41,1,1360,12,3,2,49,3,5,3,16280,1,12,3,4,0,23,0,3,22,15,15,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,9.880525940898782
34,0,1065,23,4,2,72,3,2,3,10034,0,20,4,3,0,10,2,3,9,5,8,7,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8.427049641563272
37,0,408,19,2,2,73,3,1,2,10227,4,21,4,1,0,8,1,3,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8.014004994779459
46,0,1211,5,4,1,98,3,2,4,20445,4,21,4,3,0,14,4,3,9,6,0,8,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,8.660947155060933
35,0,1229,8,1,4,36,4,1,4,4892,1,19,3,4,0,1,2,3,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7.727535110475448
48,1,626,1,2,1,98,2,3,3,19294,9,13,3,4,0,23,2,3,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,8.590815331286851
28,1,1434,5,4,3,50,3,1,3,11179,1,13,3,3,0,2,3,2,2,2,2,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,8.143807976771484
44,0,1488,1,5,2,75,3,2,1,4009,5,21,4,3,1,9,2,2,4,3,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.604287898267172
35,0,1097,11,2,3,79,2,3,1,8302,2,13,3,3,1,10,3,3,4,0,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,9.198773735604718
26,0,1443,23,3,3,47,2,2,4,21436,7,19,3,3,1,5,2,2,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8.332789468417959
33,0,515,1,2,1,98,3,3,4,15146,1,12,3,3,0,15,1,3,15,14,8,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,9.507403306233716
35,0,853,18,5,2,71,3,3,1,11031,1,22,4,4,1,9,3,2,9,8,1,8,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,9.112727543109182
35,0,1142,23,4,3,30,3,1,1,16002,3,15,3,3,1,4,3,3,2,2,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8.297792626380861
31,0,655,7,4,4,48,3,2,4,9528,3,22,4,4,1,10,3,2,7,7,1,7,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.68541582383069
37,0,1115,1,4,1,51,2,2,3,2689,1,18,3,3,1,7,2,4,7,5,0,7,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.69851424787661
32,0,427,1,3,1,33,3,2,4,10877,1,22,4,2,1,9,3,3,9,8,7,8,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,8.726318950962243
38,0,653,29,5,4,50,3,2,4,5456,1,11,3,4,0,10,2,3,10,3,9,9,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.786136437783072
